ID,Location,Type
1,"100 Legend Court, Ancaster. ",Pilot
2,"133 King St. W., Dundas. ",Pilot
3,"255 Dundas St. E., Waterdown. ",Pilot
4,"1300 Garth St., Hamilton. ",Pilot
5,"47 Wilson St. W., Ancaster. ",Pilot
6,"75 Centennial Parkway N., Hamilton. ",Pilot
7,"1330 South Service Road, Stoney Creek. ",Pilot
8,"930 Upper Paradise Road, Hamilton. ",Pilot
9,"1119 Fennell Ave., Hamilton. ",Pilot
10,"1395 Upper Ottawa St., Hamilton. ",Pilot
11,"410 Highway 8, Stoney Creek. ",Pilot
12,"500 Centennial Parkway N., Stoney Creek. ",Pilot
13,"640 Mohawk Road W., Hamilton. ",Pilot
14,"60 Hatt St., Dundas. ",Pilot
15,145 Hamilton Sr. N. Waterdown. ,Pilot
16,"499 Mohawk Road E., Hamilton. ",Pilot
17,"723 Rymal Road W., Hamilton. ",Pilot
18,"505 Rymal Road E., Hamilton. ",Pilot
19,"3011 Hwy 56, Hamilton, Ontario. ",Pilot
20,"2110 Rymal Road E., Hannon.  ",Pilot
21,"232 Cannon St E, Hamilton, Ontario",Candidate
22,"1115 Barton St E, Hamilton, Ontario",Candidate
23,"991 King St West, Hamilton, Ontario",Candidate
24," 90 Dundas St E, Hamilton, Ontario",Candidate
25,"1599 Upper James St, Hamilton, Ontario",Candidate
26,"100 West 5th Street, Hamilton",Existing for 70+
27,"101 York Boulevard, Hamilton",Existing for 70+
28,"293 Wellington Street North, Hamilton",Existing for 70+
